Feature,Importance_MAE_Increase,Importance_Std
UnemploymentRate,0.08368,0.00922
UnemploymentLag1,0.059402,0.005964
RecessionIndicator,0.057329,0.007627
UnemploymentLag3,0.03351,0.003323
EconomicStressIndex,0.022026,0.004424
RealInterestRate,0.017854,0.010099
RecessionRiskScore,0.014184,0.00332
UnemploymentLag6,0.011066,0.001533
UnemploymentLag12,0.010002,0.001605
GDPGrowthYoY,0.006797,0.000435
ConsumerSentiment,0.005984,0.002683
GDPGrowthLag6,0.003634,0.000684
ConsumerSentimentLag6,0.003488,0.001549
ConsumerConfidenceDeterioration,0.003421,0.002411
MonetaryTighteningIndex,0.001773,0.000437
UnemploymentChange3M,0.001192,0.000332
UnemploymentMomentum,0.001017,0.000321
ConsumerSentimentMomentum3M,0.000884,0.001866
GDPGrowthLag3,0.000747,0.000814
InflationUnemploymentRatio,0.000277,0.001662
InflationAcceleration,0.000109,0.000261
ConsumerPriceIndex,-0.0,0.0
GrossDomesticProduct,-0.0,0.0
ConsumerSentimentLag3,-0.000108,0.002293
GrowthToInflationRatio,-0.000152,0.00077
UnemploymentChange1M,-0.000528,0.000279
FederalFundsLag3,-0.000874,0.002389
LaborMarketShock,-0.001,0.000671
GDPGrowthMomentum,-0.001289,0.00112
InflationRateYoY,-0.002099,0.001372
FederalFundsRate,-0.002797,0.001867
PolicyPressureScore,-0.003732,0.00149
FederalFundsLag6,-0.004334,0.002614
InflationLag6,-0.004872,0.001974
InflationLag3,-0.005245,0.001888
