Horizon,BestModel,SelectionMetric,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2,ImprovementVsPersistence_RMSE_Pct,ImprovementVsUnemploymentOnly_RMSE_Pct
3M,Ridge Regression,Validation_RMSE,0.1689,0.2183,0.9457,0.3493,1.0204,0.7197,4.6631,12.8464
6M,Extra Trees,Validation_RMSE,0.2705,0.3826,0.8353,0.7248,1.2772,0.5629,7.3644,17.7699
12M,Extra Trees,Validation_RMSE,0.532,0.6838,0.49,1.1953,1.7293,0.205,0.5635,-0.9353
