Feature,Importance_MAE_Increase,Importance_Std
UnemploymentLag3,0.27868,0.019095
UnemploymentLag1,0.277636,0.019087
UnemploymentRate,0.274108,0.018598
UnemploymentLag12,0.138512,0.010611
InflationUnemploymentRatio,0.065886,0.004287
RecessionIndicator,0.0474,0.005576
GrossDomesticProduct,0.034593,0.003144
UnemploymentMomentum,0.020229,0.002446
UnemploymentChange3M,0.020229,0.002446
GDPGrowthYoY,0.018507,0.001216
GDPGrowthLag6,0.012084,0.001187
GDPGrowthLag3,0.009543,0.000961
InflationLag3,0.008108,0.001288
InflationLag6,0.007074,0.002928
RecessionRiskScore,0.007072,0.001661
ConsumerPriceIndex,0.004395,0.000693
GDPGrowthMomentum,0.003686,0.002163
InflationRateYoY,0.002769,0.000575
FederalFundsLag3,0.00259,0.001164
MonetaryTighteningIndex,0.002135,0.000521
UnemploymentChange1M,0.002097,0.001664
ConsumerSentimentLag6,0.002014,0.002511
EconomicStressIndex,0.001812,0.002376
UnemploymentLag6,0.001552,0.00052
ConsumerSentimentLag3,0.001499,0.002169
GrowthToInflationRatio,0.000646,0.003518
FederalFundsRate,0.00064,0.000871
InflationAcceleration,0.000286,0.000277
PolicyPressureScore,-0.000108,7.3e-05
FederalFundsLag6,-0.00054,0.000549
LaborMarketShock,-0.000743,0.000583
ConsumerSentiment,-0.001393,0.002848
RealInterestRate,-0.001602,0.000694
ConsumerConfidenceDeterioration,-0.002993,0.000723
ConsumerSentimentMomentum3M,-0.003945,0.001025
